"PayCode","TotalHoursWorked","LateCount","TotalAbsentHours","TotalUndertime","TotalOvertime","RegularAtt","OvertimeAtt","NightShiftAtt","NightShiftOtAtt","EmpCodeId"
"May-1-31-2025","8.00","0","0.0","94","0.00","{}","{}","{}","{}","EMB10161"
"May-1-31-2025","104.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10163"
"May-1-31-2025","84.00","0","1.5","0","0.00","{}","{}","{}","{}","EMB10164"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10166"
"May-1-31-2025","103.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10168"
"May-1-31-2025","48.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10169"
"May-1-31-2025","31.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10170"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10171"
"May-1-31-2025","40.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10172"
"May-1-31-2025","40.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10173"
"May-1-31-2025","95.92","0","0.0","0","0.00","{}","{}","{}","{}","EMB10174"
"May-1-31-2025","16.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10175"
"May-1-31-2025","72.00","0","0.0","48","0.00","{}","{}","{}","{}","EMB10177"
"May-1-31-2025","92.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10178"
"May-1-31-2025","128.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10179"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10180"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10181"
"May-1-31-2025","32.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10182"
"May-1-31-2025","16.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10183"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10184"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10186"
"May-1-31-2025","72.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10191"
"May-1-31-2025","95.97","0","0.0","0","0.00","{}","{}","{}","{}","EMB10192"
"May-1-31-2025","95.78","0","0.0","0","0.00","{}","{}","{}","{}","EMB10195"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10200"
"May-1-31-2025","15.85","0","0.0","0","0.00","{}","{}","{}","{}","EMB10201"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10203"
"May-1-31-2025","16.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10204"
"May-1-31-2025","88.00","0","0.0","48","0.00","{}","{}","{}","{}","EMB10213"
"May-1-31-2025","88.00","0","0.0","48","0.00","{}","{}","{}","{}","EMB10214"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10216"
"May-1-31-2025","72.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10218"
"May-1-31-2025","71.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10221"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10222"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10223"
"May-1-31-2025","96.00","0","0.0","47","0.00","{}","{}","{}","{}","EMB10224"
"May-1-31-2025","24.00","8","0.0","680","0.00","{}","{}","{}","{}","EMB10225"
"May-1-31-2025","24.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10227"
"May-1-31-2025","95.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10230"
"May-1-31-2025","95.73","1","0.0","0","0.00","{}","{}","{}","{}","EMB10231"
